service_id,date,exception_type
"5487_613184","20241217","1"
"5487_613184","20241218","1"
"5487_613184","20241219","1"
"5487_613184","20241220","1"
"5487_613184","20241221","1"
"5487_613184","20241223","1"
"5487_613184","20241224","1"
"5487_613184","20241227","1"
"5487_613184","20241230","1"
"5487_613184","20241231","1"
"5487_613185","20241007","1"
"5487_613185","20241008","1"
"5487_613185","20241009","1"
"5487_613185","20241010","1"
"5487_613185","20241011","1"
"5487_613185","20241012","1"
"5487_613185","20241014","1"
"5487_613185","20241015","1"
"5487_613185","20241016","1"
"5487_613185","20241017","1"
"5487_613185","20241018","1"
"5487_613185","20241019","1"
"5487_613185","20241021","1"
"5487_613185","20241022","1"
"5487_613185","20241023","1"
"5487_613185","20241024","1"
"5487_613185","20241025","1"
"5487_613185","20241026","1"
"5487_613185","20241028","1"
"5487_613185","20241029","1"
"5487_613185","20241030","1"
"5487_613185","20241031","1"
"5487_613185","20241104","1"
